name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
EKG1	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
EKG2	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
RA1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RA2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RA3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RA4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RA5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RA6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RA7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RA8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RB1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RB2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RB3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RB4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RB5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RB6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RB7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RB8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RC1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RC2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RC3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect
RC4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	soz
RC5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	soz
RC6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	soz
RC7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	soz
RC8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RD1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RD2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RD3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RD4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RD5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RD6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RD7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RD8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RE1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RE10	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RE11	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
RE2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RE3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RE4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RE5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RE6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RE7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RE8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RE9	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RF1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RF2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RF3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RF4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RF5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RF6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RF7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RF8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RG1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RG10	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RG11	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RG12	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RG2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	soz
RG3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	soz
RG4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	soz
RG5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	soz
RG6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RG7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RG8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RG9	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RH1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RH10	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RH11	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RH12	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RH2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RH3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RH4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RH5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RH6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RH7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
