name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
EKG1	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
EKG2	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LA01	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA02	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA03	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA04	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA05	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA06	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA07	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA08	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA09	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA10	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB01	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB02	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB03	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB04	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB05	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB06	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB07	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB08	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB09	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB10	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LC01	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LC02	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LC03	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LC04	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LC05	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LC06	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LC07	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LC08	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LC09	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LC10	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LD01	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LD02	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LD03	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LD04	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LD05	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LD06	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LD07	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LD08	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LE01	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LE02	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LE03	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LE04	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LE05	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LE06	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LE07	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LE08	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LE09	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
RA01	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	resect,soz
RA02	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	resect,soz
RA03	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	resect,soz
RA04	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	resect,soz
RA05	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	resect
RA06	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	resect
RA07	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	resect
RA08	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	resect
RA09	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	resect
RA10	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RB01	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	resect,soz
RB02	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	resect,soz
RB03	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	resect,soz
RB04	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	resect,soz
RB05	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	resect
RB06	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	resect
RB07	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	resect
RB08	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	resect
RB09	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	resect
RB10	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	resect
RC01	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RC02	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RC03	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RC04	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RC05	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RC06	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RC07	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RC08	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
RD01	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RD02	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RD03	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RD04	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RD05	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RD06	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RD07	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RD08	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RE01	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RE02	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RE03	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RE04	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RE05	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RE07	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
RE08	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
RF01	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RF02	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RF03	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RF04	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RF05	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RF06	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RF07	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RF08	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RG01	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RG02	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RG03	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RG04	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RG05	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RG06	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RG07	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
RG08	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
RH01	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RH02	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RH03	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RH04	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RH05	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RH06	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RH07	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RH08	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RH09	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RH10	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RI01	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RI02	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RI03	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RI04	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RI05	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RI06	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RI07	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RI08	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
