name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
C3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
CZ	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
ECG1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
ECG2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
F3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
F7	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
FZ	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
LA1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA5	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA6	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA7	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA8	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
O1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
P3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
PZ	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
RA1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RA2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RA3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect
RA4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
RA5	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
RA6	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
RA7	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect
RA8	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect
RB1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	resect,soz
RB2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
RB3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
RB4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
RB5	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect
RB6	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RB7	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RB8	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RC1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
RC2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	soz
RC3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect
RC4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RC5	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RC6	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RC7	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RC8	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
RD1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RD10	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RD11	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RD2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RD3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RD4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RD5	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RD6	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RD7	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RD8	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RD9	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RF1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RF10	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RF11	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RF2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RF3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RF4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RF5	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
RF6	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	soz
RF7	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	soz
RF8	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	soz
RF9	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
