name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
EKG1	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
EKG2	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA1	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA2	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA3	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA4	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA5	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LA6	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LA7	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LA8	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LB1	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB2	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB3	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB4	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB5	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB6	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB7	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB8	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LC1	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LC2	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LC3	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LC4	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LC5	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LC6	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LC7	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LC8	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LD1	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LD2	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LD3	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LD4	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LD5	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LD6	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LD7	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LD8	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LH1	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LH2	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LH3	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LH4	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LH5	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LH6	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LH7	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LH8	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LI1	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LI2	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LI3	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LI4	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LI5	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LI6	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LI7	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LJ1	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LJ2	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LJ3	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LJ4	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LJ5	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LJ6	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LJ7	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LJ8	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LK1	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LK2	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LK3	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LK4	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LK5	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LK6	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LK7	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LK8	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LM1	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LM2	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LM3	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LM4	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LM5	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LM6	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LM7	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LM8	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LN1	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LN2	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LN3	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LN4	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LN5	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LN6	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LN7	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LN8	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RA1	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RA2	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RA3	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RA4	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RA5	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RA6	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RA7	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RB1	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RB2	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RB3	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RB4	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RB5	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RB6	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RB7	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RB8	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RC1	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RC2	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RC3	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RC4	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RC5	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RC6	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RC7	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RC8	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RD1	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RD2	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RD3	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RD4	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RD5	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RD6	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RD7	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RD8	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RE1	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RE2	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RE3	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RE4	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RE5	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RE6	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RE7	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RE8	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RF1	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RF2	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RF3	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RF4	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RF5	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RF6	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RF7	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RF8	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
