label	r	a	s	defined	selected	visible	locked	description
EEG PI1	-0.631731	-40.2358	26.6455	1	1	1	0	
EEG PI2	-3.79166	-40.137	26.2428	1	1	1	0	
EEG PI3	-7.42352	-39.862	25.8468	1	1	1	0	
EEG PI4	-10.6615	-39.6242	26.0651	1	1	1	0	
EEG PI5	-14.5685	-39.333	26.0025	1	1	1	0	
EEG PI6	-17.6672	-39.1021	25.9529	1	1	1	0	
EEG PI7	-21.033	-38.8496	25.7638	1	1	1	0	
EEG PI8	-24.6706	-38.5785	25.7056	1	1	1	0	
EEG PI9	-28.3127	-38.3106	25.9174	1	1	1	0	
EEG PI10	-31.6763	-38.0564	25.5933	1	1	1	0	
EEG PI11	-35.0467	-37.807	25.6744	1	1	1	0	
EEG PI12	-38.5427	-37.5412	25.213	1	1	1	0	
EEG PI13	-42.1848	-37.2733	25.4249	1	1	1	0	
EEG PI14	-45.6831	-37.0091	25.0986	1	1	1	0	
EEG PI15	-48.9188	-36.7697	25.1819	1	1	1	0	
EEG PI16	-52.4194	-36.5071	24.9907	1	1	1	0	
EEG PI17	-55.7898	-36.2577	25.0718	1	1	1	0	
EEG PA1	-0.71269	-56.7901	39.1049	1	1	1	0	
EEG PA2	-4.03785	-56.6965	38.9216	1	1	1	0	
EEG PA3	-7.68186	-56.5933	38.6691	1	1	1	0	
EEG PA4	-11.148	-56.5058	39.2518	1	1	1	0	
EEG PA5	-14.7335	-56.4084	39.3204	1	1	1	0	
EEG PA6	-18.4447	-56.3057	39.2588	1	1	1	0	
EEG PA7	-21.772	-56.2137	39.2036	1	1	1	0	
EEG PA8	-25.4855	-56.1127	39.27	1	1	1	0	
EEG PA9	-28.8128	-56.0207	39.2148	1	1	1	0	
EEG PA10	-32.2703	-55.9268	39.2855	1	1	1	0	
EEG PA11	-35.86	-55.8326	39.6101	1	1	1	0	
