name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
C3	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
C4	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
CZ	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
EKG1	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
EKG2	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
F3	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
F7	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
FP1	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
FZ	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
LOC	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
O1	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
P3	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
RA01	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	soz
RA02	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect,soz
RA03	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect,soz
RA04	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect,soz
RA05	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect,soz
RA06	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RA07	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RA08	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RA09	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
RA11	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
RA12	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
RB01	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect,soz
RB02	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect,soz
RB03	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect,soz
RB04	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect,soz
RB05	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect,soz
RB06	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RB07	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RB08	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RB09	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RB10	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RB11	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RB12	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RC01	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	soz
RC02	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	soz
RC03	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	soz
